episode,mean_reward,baseline_reward,lie_rate,truth_rate,twist_rate,vote_lowest_trust,vote_highest_threat,vote_random,trust_dispersion
98,0.4524,0.4275,0.3333,0.5556,0.1111,0.5556,0.4444,0.0,0.0667
99,0.4405,0.4276,0.3333,0.6667,0.0,0.6667,0.2222,0.1111,0.0
100,0.4524,0.4278,0.1111,0.7778,0.1111,0.3333,0.5556,0.1111,0.0444
101,0.4524,0.4281,0.0,0.7778,0.2222,0.5556,0.1111,0.3333,0.0444
102,0.4524,0.4283,0.1111,0.6667,0.2222,0.3333,0.2222,0.4444,0.0889
103,0.4643,0.4287,0.1111,0.6667,0.2222,0.3333,0.2222,0.4444,0.0667
104,0.4881,0.4293,0.3333,0.5556,0.1111,0.4444,0.4444,0.1111,0.0444
105,0.3631,0.4286,0.2222,0.4444,0.3333,0.3333,0.3333,0.3333,0.0667
106,0.4405,0.4287,0.0,0.5556,0.4444,0.4444,0.3333,0.2222,0.0667
107,0.4226,0.4287,0.3333,0.5556,0.1111,0.3333,0.3333,0.3333,0.0444
108,0.4107,0.4285,0.1111,0.7778,0.1111,0.4444,0.1111,0.4444,0.0444
109,0.4285,0.4285,0.3333,0.6667,0.0,0.4444,0.3333,0.2222,0.1778
110,0.4464,0.4287,0.3333,0.6667,0.0,0.5556,0.2222,0.2222,0.0444
111,0.4464,0.4288,0.2222,0.7778,0.0,0.6667,0.2222,0.1111,0.0444
112,0.4405,0.4289,0.0,0.8889,0.1111,0.5556,0.3333,0.1111,0.0444
113,0.4107,0.4288,0.0,0.7778,0.2222,0.4444,0.1111,0.4444,0.0889
114,0.3392,0.428,0.2222,0.5556,0.2222,0.1111,0.5556,0.3333,0.0
115,0.4464,0.4281,0.1111,0.7778,0.1111,0.3333,0.5556,0.1111,0.0
116,0.3809,0.4277,0.2222,0.6667,0.1111,0.5556,0.0,0.4444,0.0667
117,0.4703,0.4281,0.1111,0.6667,0.2222,0.5556,0.4444,0.0,0.0444
118,0.369,0.4276,0.2222,0.5556,0.2222,0.6667,0.1111,0.2222,0.0444
119,0.4464,0.4278,0.2222,0.7778,0.0,0.4444,0.3333,0.2222,0.0444
120,0.4524,0.428,0.0,0.8889,0.1111,0.6667,0.1111,0.2222,0.0
121,0.4226,0.4279,0.5556,0.2222,0.2222,0.6667,0.2222,0.1111,0.0444
122,0.3333,0.4271,0.1111,0.7778,0.1111,0.4444,0.2222,0.3333,0.0
123,0.3869,0.4268,0.3333,0.5556,0.1111,0.4444,0.2222,0.3333,0.0889
124,0.4226,0.4268,0.2222,0.6667,0.1111,0.5556,0.4444,0.0,0.0
125,0.4524,0.427,0.2222,0.6667,0.1111,0.2222,0.4444,0.3333,0.0444
126,0.4643,0.4273,0.1111,0.5556,0.3333,0.5556,0.2222,0.2222,0.0
127,0.4643,0.4276,0.1111,0.5556,0.3333,0.6667,0.1111,0.2222,0.0444
128,0.4464,0.4277,0.1111,0.7778,0.1111,0.3333,0.3333,0.3333,0.0444
129,0.4524,0.4279,0.2222,0.6667,0.1111,0.5556,0.2222,0.2222,0.0444
130,0.4464,0.4281,0.0,0.7778,0.2222,1.0,0.0,0.0,0.0889
131,0.4643,0.4283,0.0,0.6667,0.3333,0.5556,0.4444,0.0,0.0889
132,0.4583,0.4286,0.2222,0.6667,0.1111,0.2222,0.4444,0.3333,0.0444
133,0.4881,0.429,0.1111,0.7778,0.1111,0.2222,0.5556,0.2222,0.0444
134,0.4881,0.4295,0.2222,0.7778,0.0,0.2222,0.5556,0.2222,0.0444
135,0.4643,0.4297,0.3333,0.5556,0.1111,0.2222,0.7778,0.0,0.0889
136,0.3928,0.4294,0.1111,0.7778,0.1111,0.3333,0.3333,0.3333,0.2
137,0.4762,0.4298,0.1111,0.7778,0.1111,0.3333,0.2222,0.4444,0.1556
138,0.4166,0.4297,0.1111,0.8889,0.0,0.3333,0.5556,0.1111,0.1778
139,0.4524,0.4298,0.2222,0.7778,0.0,0.1111,0.5556,0.3333,0.0444
140,0.4524,0.43,0.2222,0.7778,0.0,0.2222,0.4444,0.3333,0.1111
141,0.3631,0.4295,0.2222,0.7778,0.0,0.4444,0.2222,0.3333,0.0
142,0.4643,0.4298,0.4444,0.3333,0.2222,0.3333,0.4444,0.2222,0.1333
143,0.4405,0.4299,0.0,0.8889,0.1111,0.5556,0.1111,0.3333,0.0667
144,0.4524,0.43,0.2222,0.7778,0.0,0.6667,0.1111,0.2222,0.0889
145,0.3869,0.4297,0.1111,0.6667,0.2222,0.5556,0.1111,0.3333,0.0444
146,0.4047,0.4295,0.2222,0.4444,0.3333,0.4444,0.4444,0.1111,0.0444
147,0.4405,0.4296,0.2222,0.7778,0.0,0.4444,0.1111,0.4444,0.0444
148,0.4286,0.4296,0.1111,0.6667,0.2222,0.4444,0.1111,0.4444,0.0667
149,0.4881,0.43,0.4444,0.4444,0.1111,0.1111,0.7778,0.1111,0.0444
150,0.4762,0.4303,0.1111,0.7778,0.1111,0.5556,0.2222,0.2222,0.0667
151,0.3928,0.4301,0.1111,0.7778,0.1111,0.3333,0.4444,0.2222,0.0444
152,0.4881,0.4304,0.0,0.8889,0.1111,0.3333,0.4444,0.2222,0.0444
153,0.3631,0.43,0.4444,0.5556,0.0,0.4444,0.2222,0.3333,0.0
154,0.4405,0.4301,0.1111,0.7778,0.1111,0.4444,0.4444,0.1111,0.0
155,0.4524,0.4302,0.1111,0.7778,0.1111,0.6667,0.1111,0.2222,0.0889
156,0.4464,0.4303,0.7778,0.2222,0.0,0.3333,0.4444,0.2222,0.0667
157,0.4166,0.4302,0.1111,0.5556,0.3333,0.7778,0.1111,0.1111,0.0889
158,0.4524,0.4304,0.2222,0.4444,0.3333,0.1111,0.5556,0.3333,0.0444
159,0.4524,0.4305,0.2222,0.5556,0.2222,0.4444,0.3333,0.2222,0.0889
160,0.4643,0.4307,0.1111,0.7778,0.1111,0.3333,0.5556,0.1111,0.0889
161,0.3928,0.4305,0.2222,0.2222,0.5556,0.3333,0.1111,0.5556,0.0444
162,0.4464,0.4306,0.2222,0.5556,0.2222,0.3333,0.4444,0.2222,0.0667
163,0.4405,0.4306,0.2222,0.5556,0.2222,0.1111,0.4444,0.4444,0.0889
164,0.375,0.4303,0.5556,0.3333,0.1111,0.2222,0.6667,0.1111,0.0444
165,0.4464,0.4304,0.1111,0.8889,0.0,0.4444,0.2222,0.3333,0.1111
166,0.4167,0.4303,0.2222,0.6667,0.1111,0.2222,0.4444,0.3333,0.1333
167,0.4107,0.4302,0.0,1.0,0.0,0.4444,0.2222,0.3333,0.1333
168,0.4405,0.4303,0.1111,0.8889,0.0,0.3333,0.1111,0.5556,0.0667
169,0.4048,0.4301,0.0,0.6667,0.3333,0.3333,0.5556,0.1111,0.0889
170,0.4703,0.4303,0.2222,0.7778,0.0,0.6667,0.1111,0.2222,0.0667
171,0.4762,0.4306,0.1111,0.6667,0.2222,0.4444,0.3333,0.2222,0.0889
172,0.4464,0.4307,0.3333,0.4444,0.2222,0.0,0.6667,0.3333,0.1333
